=== NPC Trace: chicken_60 ===
Abilities: [1, 1, 1, 3]
Simulation: M=64, N_coop=4, k=4, T=256
============================================================

Tourn Step |              Pre-Location -> Post-Location             | Action                             | W/L   | share_obs              | transfer     | extend_own
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
T   0 step  1 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 0/L 1 |                        |              | 
T   0 step  2 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 0/L 2 |                        |              | 
T   0 step  3 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 0/L 3 |                        |              | 
T   0 step  4 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 0/L 4 |                        |              | 
T   0 step  5 |           BattleZone@coop0 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 0/L 4 |                        |              | 
T   0 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T   0 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T   0 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 1 |                        |              | 
T   0 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 2 |                        |              | 
T   0 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 3 |                        |              | 
T   0 step 11 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 2/L 3 |                        |              | 
T   0 step 12 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 3 |                        |              | 
T   0 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 3 |                        |              | 
T   0 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 3 |                        |              | 
T   0 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 3 |                        |              | 
T   0 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 3 |                        |              | 
T   0 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 3 |                        |              | 
T   1 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop2 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 1 closed | sack: 0 (+0) ---

T   1 step  2 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 1/L 1 |                        |              | 
T   1 step  3 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 1/L 2 |                        |              | 
T   1 step  4 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 1/L 3 |                        |              | 
T   1 step  5 |           BattleZone@coop2 -> BattleZone          @coop2 | battle(policy:a_move->coop3)       | W 1/L 4 |                        |              | 
T   1 step  6 |           BattleZone@coop2 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 1/L 4 |                        |              | 
T   1 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 0 |                        |              | 
T   1 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T   1 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 2 |                        |              | 
T   1 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 3 |                        |              | 
T   1 step 11 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 4 |                        |              | 
T   1 step 12 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 1/L 4 |                        |              | 
T   1 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T   1 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T   1 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 4 |                        |              | 
T   2 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop1 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 2 closed | sack: 0 (+0) ---

T   2 step  2 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 0/L 2 |                        |              | 
T   2 step  3 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 0/L 3 |                        |              | 
T   2 step  4 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 1/L 3 |                        |              | 
T   2 step  5 |           BattleZone@coop1 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 1/L 3 |                        |              | 
T   2 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 0 |                        |              | 
T   2 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 0 |                        |              | 
T   2 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 1 |                        |              | 
T   2 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 1 |                        |              | 
T   2 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 2 |                        |              | 
T   2 step 11 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 3/L 2 |                        |              | 
T   2 step 12 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 3/L 2 |                        |              | 
T   2 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 3/L 2 |                        |              | 
T   2 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 3/L 2 |                        |              | 
T   3 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop1 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 3 closed | sack: 0 (+0) ---

T   3 step  2 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 0/L 2 |                        |              | 
T   3 step  3 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 1/L 2 |                        |              | 
T   3 step  4 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 1/L 3 |                        |              | 
T   3 step  5 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 2/L 3 |                        |              | 
T   3 step  6 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 2/L 4 |                        |              | 
T   3 step  7 |           BattleZone@coop1 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 2/L 4 |                        |              | 
T   3 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T   3 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T   3 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 2 |                        |              | 
T   3 step 11 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 2 |                        |              | 
